doc_id,station_id,station_name,confidence,match_rule,evidence_span,event_label,event_label_name,event_severity,event_line_mentions
ZZM_CN_eaf70b8f1298,ZZS_ff6940526d,郑州东站,0.88,interval_endpoint,郑州东站,1,service_disruption,3,8号线
ZZM_CN_eaf70b8f1298,ZZS_b5c4192440,圃田西,0.88,interval_endpoint,圃田西,1,service_disruption,3,8号线
ZZM_CN_609552efac4f,ZZS_c180efc575,贾河,0.88,interval_endpoint,贾河,0,normal_info,0,2号线|3号线|4号线|5号线
ZZM_CN_609552efac4f,ZZS_72de4f5f66,惠济区政府,0.6,interval_inferred,interval,0,normal_info,0,2号线|3号线|4号线|5号线
ZZM_CN_609552efac4f,ZZS_1a5721a427,毛庄,0.6,interval_inferred,interval,0,normal_info,0,2号线|3号线|4号线|5号线
ZZM_CN_609552efac4f,ZZS_abc078ccd5,黄河迎宾馆,0.6,interval_inferred,interval,0,normal_info,0,2号线|3号线|4号线|5号线
ZZM_CN_609552efac4f,ZZS_43a808507b,金洼,0.6,interval_inferred,interval,0,normal_info,0,2号线|3号线|4号线|5号线
ZZM_CN_609552efac4f,ZZS_4d258fdd50,金达路,0.6,interval_inferred,interval,0,normal_info,0,2号线|3号线|4号线|5号线
ZZM_CN_609552efac4f,ZZS_6b600b7696,刘庄,0.88,interval_endpoint,刘庄,0,normal_info,0,2号线|3号线|4号线|5号线
ZZM_CN_dff807eeb55e,ZZS_c180efc575,贾河,0.88,interval_endpoint,贾河,0,normal_info,0,2号线|3号线|4号线|5号线
ZZM_CN_dff807eeb55e,ZZS_72de4f5f66,惠济区政府,0.6,interval_inferred,interval,0,normal_info,0,2号线|3号线|4号线|5号线
ZZM_CN_dff807eeb55e,ZZS_1a5721a427,毛庄,0.6,interval_inferred,interval,0,normal_info,0,2号线|3号线|4号线|5号线
ZZM_CN_dff807eeb55e,ZZS_abc078ccd5,黄河迎宾馆,0.6,interval_inferred,interval,0,normal_info,0,2号线|3号线|4号线|5号线
ZZM_CN_dff807eeb55e,ZZS_43a808507b,金洼,0.6,interval_inferred,interval,0,normal_info,0,2号线|3号线|4号线|5号线
ZZM_CN_dff807eeb55e,ZZS_4d258fdd50,金达路,0.6,interval_inferred,interval,0,normal_info,0,2号线|3号线|4号线|5号线
ZZM_CN_dff807eeb55e,ZZS_6b600b7696,刘庄,0.88,interval_endpoint,刘庄,0,normal_info,0,2号线|3号线|4号线|5号线
ZZM_CN_9dab48cf0182,ZZS_6b600b7696,刘庄,0.88,interval_endpoint,刘庄,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_9dab48cf0182,ZZS_bdc2a71da9,柳林,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_9dab48cf0182,ZZS_90c4ce1eb7,沙门,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_9dab48cf0182,ZZS_ff256e6634,北三环,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_9dab48cf0182,ZZS_ff491e6fdf,东风路,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_9dab48cf0182,ZZS_2bd57be00d,关虎屯,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_9dab48cf0182,ZZS_7dd13fd23f,黄河路,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_9dab48cf0182,ZZS_a14df2d44f,紫荆山,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_9dab48cf0182,ZZS_51e572c7c3,东大街,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_9dab48cf0182,ZZS_a7b91da4c7,陇海东路,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_9dab48cf0182,ZZS_93b9249040,二里岗,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_9dab48cf0182,ZZS_20262a52f0,南五里堡,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_9dab48cf0182,ZZS_9f383e1427,花寨,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_9dab48cf0182,ZZS_02cf3e4cf5,南三环,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_9dab48cf0182,ZZS_9660c27c11,站马屯,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_9dab48cf0182,ZZS_54adf32b6c,南四环,0.88,interval_endpoint,南四环,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_3b85db1aba0b,ZZS_6b600b7696,刘庄,0.88,interval_endpoint,刘庄,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_3b85db1aba0b,ZZS_bdc2a71da9,柳林,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_3b85db1aba0b,ZZS_90c4ce1eb7,沙门,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_3b85db1aba0b,ZZS_ff256e6634,北三环,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_3b85db1aba0b,ZZS_ff491e6fdf,东风路,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_3b85db1aba0b,ZZS_2bd57be00d,关虎屯,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_3b85db1aba0b,ZZS_7dd13fd23f,黄河路,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_3b85db1aba0b,ZZS_a14df2d44f,紫荆山,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_3b85db1aba0b,ZZS_51e572c7c3,东大街,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_3b85db1aba0b,ZZS_a7b91da4c7,陇海东路,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_3b85db1aba0b,ZZS_93b9249040,二里岗,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_3b85db1aba0b,ZZS_20262a52f0,南五里堡,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_3b85db1aba0b,ZZS_9f383e1427,花寨,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_3b85db1aba0b,ZZS_02cf3e4cf5,南三环,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_3b85db1aba0b,ZZS_9660c27c11,站马屯,0.6,interval_inferred,interval,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_3b85db1aba0b,ZZS_54adf32b6c,南四环,0.88,interval_endpoint,南四环,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_e9e9a154622f,ZZS_deb2edc4a2,沙口路,0.88,interval_endpoint,沙口路,2,safety_emergency,3,5号线
ZZM_CN_e9e9a154622f,ZZS_31a002aa03,海滩寺,0.88,interval_endpoint,海滩寺,2,safety_emergency,3,5号线
ZZM_CN_470a75af9b97,ZZS_e67ffc082e,西流湖,0.88,interval_endpoint,西流湖,0,normal_info,0,1号线
